epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6576142311096191,0.8997653126716614,0.8600666522979736,0.48388323187828064,0.0005000000237487257
2,0.8168545961380005,0.517218291759491,0.8400761485099792,0.46192583441734314,0.0005000000237487257
3,0.849281907081604,0.43797504901885986,0.8905283212661743,0.3809317648410797,0.0005000000237487257
4,0.8644273281097412,0.38516560196876526,0.883388876914978,0.38405945897102356,0.0005000000237487257
5,0.8764154314994812,0.3570328950881958,0.8891004323959351,0.40221595764160156,0.0005000000237487257
6,0.8870029449462891,0.3236260414123535,0.884340763092041,0.41127580404281616,0.0005000000237487257
7,0.8936260938644409,0.3054049611091614,0.8648262619972229,0.4499482810497284,0.0005000000237487257
8,0.9005103707313538,0.28730785846710205,0.8695859313011169,0.43827304244041443,0.0005000000237487257
9,0.91539466381073,0.23979277908802032,0.8691099286079407,0.4335722029209137,0.0002500000118743628
10,0.9219228625297546,0.22384370863437653,0.8657782077789307,0.5035060048103333,0.0002500000118743628
11,0.9265282154083252,0.2081070989370346,0.8514992594718933,0.5167708396911621,0.0002500000118743628
12,0.9292818903923035,0.20261383056640625,0.8576868176460266,0.5213668346405029,0.0002500000118743628
13,0.934931755065918,0.18904805183410645,0.8562589287757874,0.5563215613365173,0.0002500000118743628
14,0.9425756931304932,0.16518354415893555,0.8614945411682129,0.5609685778617859,0.0001250000059371814
15,0.946397602558136,0.15491804480552673,0.8562589287757874,0.6091892123222351,0.0001250000059371814
16,0.949103832244873,0.14935711026191711,0.8638743162155151,0.5956079363822937,0.0001250000059371814
17,0.9527834057807922,0.14133962988853455,0.8572108745574951,0.6560888886451721,0.0001250000059371814
18,0.9548961520195007,0.13719426095485687,0.8605425953865051,0.666805624961853,0.0001250000059371814
